Code Domaine,Domaine,Code zone (FAO),Zone,Code Élément,Élément,Code Produit,Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole,Note
"MK","Indicateurs macro","6","Andorre","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","millions","3000.160225","X","Sources internationales sûres",""
"MK","Indicateurs macro","6","Andorre","6119","Valeur US $ par habitant","22008","Produit Intérieur Brut","2017","2017","US$","38962.613799","X","Sources internationales sûres",""
"MK","Indicateurs macro","6","Andorre","6110","Valeur US $","22015","Formation brute de capital fixe","2017","2017","millions","560.159431","X","Sources internationales sûres",""
"MK","Indicateurs macro","6","Andorre","6103","Part du PIB US $","22015","Formation brute de capital fixe","2017","2017","%","18.670984","Fc","Donnée calculée",""
"MK","Indicateurs macro","7","Angola","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","millions","122123.858628","X","Sources internationales sûres",""
"MK","Indicateurs macro","7","Angola","6119","Valeur US $ par habitant","22008","Produit Intérieur Brut","2017","2017","US$","4095.811686","X","Sources internationales sûres",""
"MK","Indicateurs macro","7","Angola","6110","Valeur US $","22015","Formation brute de capital fixe","2017","2017","millions","28384.411299","X","Sources internationales sûres",""
"MK","Indicateurs macro","7","Angola","6103","Part du PIB US $","22015","Formation brute de capital fixe","2017","2017","%","23.242314","Fc","Donnée calculée",""
"MK","Indicateurs macro","258","Anguilla","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","millions","281.055556","X","Sources internationales sûres",""
"MK","Indicateurs macro","258","Anguilla","6119","Valeur US $ par habitant","22008","Produit Intérieur Brut","2017","2017","US$","19271.49997","X","Sources internationales sûres",""
"MK","Indicateurs macro","258","Anguilla","6110","Valeur US $","22015","Formation brute de capital fixe","2017","2017","millions","61.400184","X","Sources internationales sûres",""
"MK","Indicateurs macro","258","Anguilla","6103","Part du PIB US $","22015","Formation brute de capital fixe","2017","2017","%","21.84628","Fc","Donnée calculée",""
"MK","Indicateurs macro","8","Antigua-et-Barbuda","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","millions","1467.977778","X","Sources internationales sûres",""
"MK","Indicateurs macro","8","Antigua-et-Barbuda","6119","Valeur US $ par habitant","22008","Produit Intérieur Brut","2017","2017","US$","15383.415188","X","Sources internationales sûres",""
"MK","Indicateurs macro","8","Antigua-et-Barbuda","6110","Valeur US $","22015","Formation brute de capital fixe","2017","2017","millions","478.079413","X","Sources internationales sûres",""
"MK","Indicateurs macro","8","Antigua-et-Barbuda","6103","Part du PIB US $","22015","Formation brute de capital fixe","2017","2017","%","32.56721","Fc","Donnée calculée",""
"MK","Indicateurs macro","194","Arabie saoudite","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","millions","688586.094413","X","Sources internationales sûres",""
"MK","Indicateurs macro","194","Arabie saoudite","6119","Valeur US $ par habitant","22008","Produit Intérieur Brut","2017","2017","US$","20802.464299","X","Sources internationales sûres",""
"MK","Indicateurs macro","194","Arabie saoudite","6110","Valeur US $","22015","Formation brute de capital fixe","2017","2017","millions","168595.278014","X","Sources internationales sûres",""
"MK","Indicateurs macro","194","Arabie saoudite","6103","Part du PIB US $","22015","Formation brute de capital fixe","2017","2017","%","24.48427","Fc","Donnée calculée",""
"MK","Indicateurs macro","9","Argentine","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","millions","643628.396191","X","Sources internationales sûres",""
"MK","Indicateurs macro","9","Argentine","6119","Valeur US $ par habitant","22008","Produit Intérieur Brut","2017","2017","US$","14648.845969","X","Sources internationales sûres",""
"MK","Indicateurs macro","9","Argentine","6110","Valeur US $","22015","Formation brute de capital fixe","2017","2017","millions","97588.216672","X","Sources internationales sûres",""
"MK","Indicateurs macro","9","Argentine","6103","Part du PIB US $","22015","Formation brute de capital fixe","2017","2017","%","15.162199","Fc","Donnée calculée",""
"MK","Indicateurs macro","1","Arménie","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","millions","11527.458713","X","Sources internationales sûres",""
"MK","Indicateurs macro","1","Arménie","6119","Valeur US $ par habitant","22008","Produit Intérieur Brut","2017","2017","US$","3914.525246","X","Sources internationales sûres",""
"MK","Indicateurs macro","1","Arménie","6110","Valeur US $","22015","Formation brute de capital fixe","2017","2017","millions","2034.409257","X","Sources internationales sûres",""
"MK","Indicateurs macro","1","Arménie","6103","Part du PIB US $","22015","Formation brute de capital fixe","2017","2017","%","17.648376","Fc","Donnée calculée",""
"MK","Indicateurs macro","22","Aruba","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","millions","3092.430168","X","Sources internationales sûres",""
"MK","Indicateurs macro","22","Aruba","6119","Valeur US $ par habitant","22008","Produit Intérieur Brut","2017","2017","US$","29349.412216","X","Sources internationales sûres",""
"MK","Indicateurs macro","22","Aruba","6110","Valeur US $","22015","Formation brute de capital fixe","2017","2017","millions","593.346369","X","Sources internationales sûres",""
"MK","Indicateurs macro","22","Aruba","6103","Part du PIB US $","22015","Formation brute de capital fixe","2017","2017","%","19.187058","Fc","Donnée calculée",""
"MK","Indicateurs macro","10","Australie","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","millions","1416783.718751","X","Sources internationales sûres",""
"MK","Indicateurs macro","10","Australie","6119","Valeur US $ par habitant","22008","Produit Intérieur Brut","2017","2017","US$","57628.863849","X","Sources internationales sûres",""
"MK","Indicateurs macro","10","Australie","6110","Valeur US $","22015","Formation brute de capital fixe","2017","2017","millions","344937.508364","X","Sources internationales sûres",""
"MK","Indicateurs macro","10","Australie","6103","Part du PIB US $","22015","Formation brute de capital fixe","2017","2017","%","24.346518","Fc","Donnée calculée",""
"MK","Indicateurs macro","11","Autriche","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","millions","417261.151845","X","Sources internationales sûres",""
"MK","Indicateurs macro","11","Autriche","6119","Valeur US $ par habitant","22008","Produit Intérieur Brut","2017","2017","US$","47309.051637","X","Sources internationales sûres",""
"MK","Indicateurs macro","11","Autriche","6110","Valeur US $","22015","Formation brute de capital fixe","2017","2017","millions","100695.261346","X","Sources internationales sûres",""
"MK","Indicateurs macro","11","Autriche","6103","Part du PIB US $","22015","Formation brute de capital fixe","2017","2017","%","24.132431","Fc","Donnée calculée",""
"MK","Indicateurs macro","11","Autriche","6110","Valeur US $","22010","Valeur ajoutée (Agriculture)","2017","2017","millions","3698.282455","Fc","Donnée calculée",""
"MK","Indicateurs macro","11","Autriche","6110","Valeur US $","22073","Production brute (Agriculture)","2017","2017","millions","8299.349621","Fc","Donnée calculée",""
"MK","Indicateurs macro","52","Azerbaïdjan","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","millions","40866.632048","X","Sources internationales sûres",""
"MK","Indicateurs macro","52","Azerbaïdjan","6119","Valeur US $ par habitant","22008","Produit Intérieur Brut","2017","2017","US$","4150.868844","X","Sources internationales sûres",""
"MK","Indicateurs macro","52","Azerbaïdjan","6110","Valeur US $","22015","Formation brute de capital fixe","2017","2017","millions","9733.290683","X","Sources internationales sûres",""
"MK","Indicateurs macro","52","Azerbaïdjan","6103","Part du PIB US $","22015","Formation brute de capital fixe","2017","2017","%","23.817208","Fc","Donnée calculée",""
"MK","Indicateurs macro","12","Bahamas","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","millions","12359.749424","X","Sources internationales sûres",""
"MK","Indicateurs macro","12","Bahamas","6119","Valeur US $ par habitant","22008","Produit Intérieur Brut","2017","2017","US$","32376.12978","X","Sources internationales sûres",""
"MK","Indicateurs macro","12","Bahamas","6110","Valeur US $","22015","Formation brute de capital fixe","2017","2017","millions","3274.148418","X","Sources internationales sûres",""
"MK","Indicateurs macro","12","Bahamas","6103","Part du PIB US $","22015","Formation brute de capital fixe","2017","2017","%","26.490411","Fc","Donnée calculée",""
"MK","Indicateurs macro","13","Bahreïn","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","millions","35473.785362","X","Sources internationales sûres",""
"MK","Indicateurs macro","13","Bahreïn","6119","Valeur US $ par habitant","22008","Produit Intérieur Brut","2017","2017","US$","23742.959101","X","Sources internationales sûres",""
"MK","Indicateurs macro","13","Bahreïn","6110","Valeur US $","22015","Formation brute de capital fixe","2017","2017","millions","10056.613186","X","Sources internationales sûres",""
"MK","Indicateurs macro","13","Bahreïn","6103","Part du PIB US $","22015","Formation brute de capital fixe","2017","2017","%","28.349422","Fc","Donnée calculée",""
"MK","Indicateurs macro","16","Bangladesh","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","millions","245633.488923","X","Sources internationales sûres",""
"MK","Indicateurs macro","16","Bangladesh","6119","Valeur US $ par habitant","22008","Produit Intérieur Brut","2017","2017","US$","1538.233627","X","Sources internationales sûres",""
"MK","Indicateurs macro","16","Bangladesh","6110","Valeur US $","22015","Formation brute de capital fixe","2017","2017","millions","74943.886587","X","Sources internationales sûres",""
"MK","Indicateurs macro","16","Bangladesh","6103","Part du PIB US $","22015","Formation brute de capital fixe","2017","2017","%","30.510452","Fc","Donnée calculée",""
"MK","Indicateurs macro","14","Barbade","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","millions","4985.965","X","Sources internationales sûres",""
"MK","Indicateurs macro","14","Barbade","6119","Valeur US $ par habitant","22008","Produit Intérieur Brut","2017","2017","US$","17419.313704","X","Sources internationales sûres",""
"MK","Indicateurs macro","14","Barbade","6110","Valeur US $","22015","Formation brute de capital fixe","2017","2017","millions","768.66","X","Sources internationales sûres",""
"MK","Indicateurs macro","14","Barbade","6103","Part du PIB US $","22015","Formation brute de capital fixe","2017","2017","%","15.416474","Fc","Donnée calculée",""
"MK","Indicateurs macro","57","Bélarus","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","millions","54725.418814","X","Sources internationales sûres",""
"MK","Indicateurs macro","57","Bélarus","6119","Valeur US $ par habitant","22008","Produit Intérieur Brut","2017","2017","US$","5790.908054","X","Sources internationales sûres",""
"MK","Indicateurs macro","57","Bélarus","6110","Valeur US $","22015","Formation brute de capital fixe","2017","2017","millions","14315.034177","X","Sources internationales sûres",""
"MK","Indicateurs macro","57","Bélarus","6103","Part du PIB US $","22015","Formation brute de capital fixe","2017","2017","%","26.157925","Fc","Donnée calculée",""
"MK","Indicateurs macro","57","Bélarus","6110","Valeur US $","22010","Valeur ajoutée (Agriculture)","2017","2017","millions","3703.937106","Fc","Donnée calculée",""
"MK","Indicateurs macro","57","Bélarus","6110","Valeur US $","22073","Production brute (Agriculture)","2017","2017","millions","9513.54531","Fc","Donnée calculée",""
"MK","Indicateurs macro","255","Belgique","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","millions","502764.720556","X","Sources internationales sûres",""
"MK","Indicateurs macro","255","Belgique","6119","Valeur US $ par habitant","22008","Produit Intérieur Brut","2017","2017","US$","44025.903247","X","Sources internationales sûres",""
"MK","Indicateurs macro","255","Belgique","6110","Valeur US $","22015","Formation brute de capital fixe","2017","2017","millions","117057.789442","X","Sources internationales sûres",""
"MK","Indicateurs macro","255","Belgique","6103","Part du PIB US $","22015","Formation brute de capital fixe","2017","2017","%","23.282817","Fc","Donnée calculée",""
"MK","Indicateurs macro","255","Belgique","6110","Valeur US $","22010","Valeur ajoutée (Agriculture)","2017","2017","millions","3191.688228","Fc","Donnée calculée",""
"MK","Indicateurs macro","255","Belgique","6110","Valeur US $","22073","Production brute (Agriculture)","2017","2017","millions","10936.330501","Fc","Donnée calculée",""
"MK","Indicateurs macro","23","Belize","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","millions","1844.906692","X","Sources internationales sûres",""
"MK","Indicateurs macro","23","Belize","6119","Valeur US $ par habitant","22008","Produit Intérieur Brut","2017","2017","US$","4909.683057","X","Sources internationales sûres",""
"MK","Indicateurs macro","23","Belize","6110","Valeur US $","22015","Formation brute de capital fixe","2017","2017","millions","338.114593","X","Sources internationales sûres",""
"MK","Indicateurs macro","23","Belize","6103","Part du PIB US $","22015","Formation brute de capital fixe","2017","2017","%","18.326921","Fc","Donnée calculée",""
"MK","Indicateurs macro","53","Bénin","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","millions","12701.655846","X","Sources internationales sûres",""
"MK","Indicateurs macro","53","Bénin","6119","Valeur US $ par habitant","22008","Produit Intérieur Brut","2017","2017","US$","1136.59336","X","Sources internationales sûres",""
"MK","Indicateurs macro","53","Bénin","6110","Valeur US $","22015","Formation brute de capital fixe","2017","2017","millions","2977.071305","X","Sources internationales sûres",""
"MK","Indicateurs macro","53","Bénin","6103","Part du PIB US $","22015","Formation brute de capital fixe","2017","2017","%","23.43845","Fc","Donnée calculée",""
"MK","Indicateurs macro","17","Bermudes","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","millions","7142.316","X","Sources internationales sûres",""
"MK","Indicateurs macro","17","Bermudes","6119","Valeur US $ par habitant","22008","Produit Intérieur Brut","2017","2017","US$","113281.987026","X","Sources internationales sûres",""
"MK","Indicateurs macro","17","Bermudes","6110","Valeur US $","22015","Formation brute de capital fixe","2017","2017","millions","983.043","X","Sources internationales sûres",""
"MK","Indicateurs macro","17","Bermudes","6103","Part du PIB US $","22015","Formation brute de capital fixe","2017","2017","%","13.763645","Fc","Donnée calculée",""
"MK","Indicateurs macro","17","Bermudes","6110","Valeur US $","22010","Valeur ajoutée (Agriculture)","2017","2017","millions","11.53","Fc","Donnée calculée",""
"MK","Indicateurs macro","17","Bermudes","6110","Valeur US $","22073","Production brute (Agriculture)","2017","2017","millions","20.688482","Fc","Donnée calculée",""
"MK","Indicateurs macro","18","Bhoutan","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","millions","2450.366316","X","Sources internationales sûres",""
"MK","Indicateurs macro","18","Bhoutan","6119","Valeur US $ par habitant","22008","Produit Intérieur Brut","2017","2017","US$","3286.598606","X","Sources internationales sûres",""
"MK","Indicateurs macro","18","Bhoutan","6110","Valeur US $","22015","Formation brute de capital fixe","2017","2017","millions","1276.463106","X","Sources internationales sûres",""
"MK","Indicateurs macro","18","Bhoutan","6103","Part du PIB US $","22015","Formation brute de capital fixe","2017","2017","%","52.092746","Fc","Donnée calculée",""
"MK","Indicateurs macro","19","Bolivie (État plurinational de)","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","millions","37508.683068","X","Sources internationales sûres",""
"MK","Indicateurs macro","19","Bolivie (État plurinational de)","6119","Valeur US $ par habitant","22008","Produit Intérieur Brut","2017","2017","US$","3351.127399","X","Sources internationales sûres",""
"MK","Indicateurs macro","19","Bolivie (État plurinational de)","6110","Valeur US $","22015","Formation brute de capital fixe","2017","2017","millions","7977.467438","X","Sources internationales sûres",""
"MK","Indicateurs macro","19","Bolivie (État plurinational de)","6103","Part du PIB US $","22015","Formation brute de capital fixe","2017","2017","%","21.268322","Fc","Donnée calculée",""
"MK","Indicateurs macro","80","Bosnie-Herzégovine","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","millions","18080.610875","X","Sources internationales sûres",""
"MK","Indicateurs macro","80","Bosnie-Herzégovine","6119","Valeur US $ par habitant","22008","Produit Intérieur Brut","2017","2017","US$","5394.741461","X","Sources internationales sûres",""
"MK","Indicateurs macro","80","Bosnie-Herzégovine","6110","Valeur US $","22015","Formation brute de capital fixe","2017","2017","millions","3968.350467","X","Sources internationales sûres",""
"MK","Indicateurs macro","80","Bosnie-Herzégovine","6103","Part du PIB US $","22015","Formation brute de capital fixe","2017","2017","%","21.9481","Fc","Donnée calculée",""
"MK","Indicateurs macro","80","Bosnie-Herzégovine","6110","Valeur US $","22010","Valeur ajoutée (Agriculture)","2017","2017","millions","839.458285","Fc","Donnée calculée",""
"MK","Indicateurs macro","80","Bosnie-Herzégovine","6110","Valeur US $","22073","Production brute (Agriculture)","2017","2017","millions","1968.407668","Fc","Donnée calculée",""
"MK","Indicateurs macro","20","Botswana","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","millions","17405.496707","X","Sources internationales sûres",""
"MK","Indicateurs macro","20","Botswana","6119","Valeur US $ par habitant","22008","Produit Intérieur Brut","2017","2017","US$","7893.36292","X","Sources internationales sûres",""
"MK","Indicateurs macro","20","Botswana","6110","Valeur US $","22015","Formation brute de capital fixe","2017","2017","millions","5067.291707","X","Sources internationales sûres",""
"MK","Indicateurs macro","20","Botswana","6103","Part du PIB US $","22015","Formation brute de capital fixe","2017","2017","%","29.113169","Fc","Donnée calculée",""
"MK","Indicateurs macro","21","Brésil","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","millions","2063514.688762","X","Sources internationales sûres",""
"MK","Indicateurs macro","21","Brésil","6119","Valeur US $ par habitant","22008","Produit Intérieur Brut","2017","2017","US$","9928.675992","X","Sources internationales sûres",""
"MK","Indicateurs macro","21","Brésil","6110","Valeur US $","22015","Formation brute de capital fixe","2017","2017","millions","300426.82541","X","Sources internationales sûres",""
"MK","Indicateurs macro","21","Brésil","6103","Part du PIB US $","22015","Formation brute de capital fixe","2017","2017","%","14.558987","Fc","Donnée calculée",""
"MK","Indicateurs macro","26","Brunéi Darussalam","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","millions","12128.166606","X","Sources internationales sûres",""
"MK","Indicateurs macro","26","Brunéi Darussalam","6119","Valeur US $ par habitant","22008","Produit Intérieur Brut","2017","2017","US$","28572.292244","X","Sources internationales sûres",""
"MK","Indicateurs macro","26","Brunéi Darussalam","6110","Valeur US $","22015","Formation brute de capital fixe","2017","2017","millions","4194.837857","X","Sources internationales sûres",""
"MK","Indicateurs macro","26","Brunéi Darussalam","6103","Part du PIB US $","22015","Formation brute de capital fixe","2017","2017","%","34.587568","Fc","Donnée calculée",""
"MK","Indicateurs macro","26","Brunéi Darussalam","6110","Valeur US $","22010","Valeur ajoutée (Agriculture)","2017","2017","millions","65.255174","Fc","Donnée calculée",""
"MK","Indicateurs macro","26","Brunéi Darussalam","6110","Valeur US $","22073","Production brute (Agriculture)","2017","2017","millions","129.468253","Fc","Donnée calculée",""
"MK","Indicateurs macro","27","Bulgarie","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","millions","59200.845118","X","Sources internationales sûres",""
"MK","Indicateurs macro","27","Bulgarie","6119","Valeur US $ par habitant","22008","Produit Intérieur Brut","2017","2017","US$","8335.277986","X","Sources internationales sûres",""
"MK","Indicateurs macro","27","Bulgarie","6110","Valeur US $","22015","Formation brute de capital fixe","2017","2017","millions","10831.259754","X","Sources internationales sûres",""
"MK","Indicateurs macro","27","Bulgarie","6103","Part du PIB US $","22015","Formation brute de capital fixe","2017","2017","%","18.295786","Fc","Donnée calculée",""
"MK","Indicateurs macro","27","Bulgarie","6110","Valeur US $","22010","Valeur ajoutée (Agriculture)","2017","2017","millions","2148.311691","Fc","Donnée calculée",""
"MK","Indicateurs macro","27","Bulgarie","6110","Valeur US $","22073","Production brute (Agriculture)","2017","2017","millions","4895.040671","Fc","Donnée calculée",""
"MK","Indicateurs macro","233","Burkina Faso","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","millions","14106.955625","X","Sources internationales sûres",""
"MK","Indicateurs macro","233","Burkina Faso","6119","Valeur US $ par habitant","22008","Produit Intérieur Brut","2017","2017","US$","734.996282","X","Sources internationales sûres",""
"MK","Indicateurs macro","233","Burkina Faso","6110","Valeur US $","22015","Formation brute de capital fixe","2017","2017","millions","2948.125551","X","Sources internationales sûres",""
"MK","Indicateurs macro","233","Burkina Faso","6103","Part du PIB US $","22015","Formation brute de capital fixe","2017","2017","%","20.898383","Fc","Donnée calculée",""
"MK","Indicateurs macro","233","Burkina Faso","6110","Valeur US $","22010","Valeur ajoutée (Agriculture)","2017","2017","millions","2616.525169","Fc","Donnée calculée",""
"MK","Indicateurs macro","233","Burkina Faso","6110","Valeur US $","22073","Production brute (Agriculture)","2017","2017","millions","3767.514976","Fc","Donnée calculée",""
"MK","Indicateurs macro","29","Burundi","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","millions","3297.826848","X","Sources internationales sûres",""
"MK","Indicateurs macro","29","Burundi","6119","Valeur US $ par habitant","22008","Produit Intérieur Brut","2017","2017","US$","304.592321","X","Sources internationales sûres",""
"MK","Indicateurs macro","29","Burundi","6110","Valeur US $","22015","Formation brute de capital fixe","2017","2017","millions","452.164333","X","Sources internationales sûres",""
"MK","Indicateurs macro","29","Burundi","6103","Part du PIB US $","22015","Formation brute de capital fixe","2017","2017","%","13.710979","Fc","Donnée calculée",""
"MK","Indicateurs macro","35","Cabo Verde","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","millions","1769.786532","X","Sources internationales sûres",""
"MK","Indicateurs macro","35","Cabo Verde","6119","Valeur US $ par habitant","22008","Produit Intérieur Brut","2017","2017","US$","3292.638357","X","Sources internationales sûres",""
"MK","Indicateurs macro","35","Cabo Verde","6110","Valeur US $","22015","Formation brute de capital fixe","2017","2017","millions","598.377977","X","Sources internationales sûres",""
"MK","Indicateurs macro","35","Cabo Verde","6103","Part du PIB US $","22015","Formation brute de capital fixe","2017","2017","%","33.810743","Fc","Donnée calculée",""
"MK","Indicateurs macro","115","Cambodge","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","millions","22177.200626","X","Sources internationales sûres",""
"MK","Indicateurs macro","115","Cambodge","6119","Valeur US $ par habitant","22008","Produit Intérieur Brut","2017","2017","US$","1385.260419","X","Sources internationales sûres",""
"MK","Indicateurs macro","115","Cambodge","6110","Valeur US $","22015","Formation brute de capital fixe","2017","2017","millions","4856.301395","X","Sources internationales sûres",""
"MK","Indicateurs macro","115","Cambodge","6103","Part du PIB US $","22015","Formation brute de capital fixe","2017","2017","%","21.89772","Fc","Donnée calculée",""
"MK","Indicateurs macro","32","Cameroun","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","millions","35009.259798","X","Sources internationales sûres",""
"MK","Indicateurs macro","32","Cameroun","6119","Valeur US $ par habitant","22008","Produit Intérieur Brut","2017","2017","US$","1425.106072","X","Sources internationales sûres",""
"MK","Indicateurs macro","32","Cameroun","6110","Valeur US $","22015","Formation brute de capital fixe","2017","2017","millions","8042.829095","X","Sources internationales sûres",""
"MK","Indicateurs macro","32","Cameroun","6103","Part du PIB US $","22015","Formation brute de capital fixe","2017","2017","%","22.973434","Fc","Donnée calculée",""
"MK","Indicateurs macro","33","Canada","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","millions","1649518.967468","X","Sources internationales sûres",""
"MK","Indicateurs macro","33","Canada","6119","Valeur US $ par habitant","22008","Produit Intérieur Brut","2017","2017","US$","44906.74892","X","Sources internationales sûres",""
"MK","Indicateurs macro","33","Canada","6110","Valeur US $","22015","Formation brute de capital fixe","2017","2017","millions","374380.310284","X","Sources internationales sûres",""
"MK","Indicateurs macro","33","Canada","6103","Part du PIB US $","22015","Formation brute de capital fixe","2017","2017","%","22.696333","Fc","Donnée calculée",""
"MK","Indicateurs macro","33","Canada","6110","Valeur US $","22010","Valeur ajoutée (Agriculture)","2017","2017","millions","23510.165271","Fc","Donnée calculée",""
"MK","Indicateurs macro","33","Canada","6110","Valeur US $","22073","Production brute (Agriculture)","2017","2017","millions","59460.45208","Fc","Donnée calculée",""
"MK","Indicateurs macro","40","Chili","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","millions","277034.678676","X","Sources internationales sûres",""
"MK","Indicateurs macro","40","Chili","6119","Valeur US $ par habitant","22008","Produit Intérieur Brut","2017","2017","US$","14998.813979","X","Sources internationales sûres",""
"MK","Indicateurs macro","40","Chili","6110","Valeur US $","22015","Formation brute de capital fixe","2017","2017","millions","58229.648126","X","Sources internationales sûres",""
"MK","Indicateurs macro","40","Chili","6103","Part du PIB US $","22015","Formation brute de capital fixe","2017","2017","%","21.018902","Fc","Donnée calculée",""
"MK","Indicateurs macro","40","Chili","6110","Valeur US $","22010","Valeur ajoutée (Agriculture)","2017","2017","millions","7601.325968","Fc","Donnée calculée",""
"MK","Indicateurs macro","40","Chili","6110","Valeur US $","22073","Production brute (Agriculture)","2017","2017","millions","14652.300261","Fc","Donnée calculée",""
"MK","Indicateurs macro","351","Chine","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","millions","12702190.669259","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées",""
